course,EX,A,B,C,D,P,F,session
AE21001,7,10,32,6,0,0,1,Autumn20
AG20101,8,24,15,8,0,0,0,Autumn20
CY11001,0,0,0,0,1,6,7,Autumn20
CE13001,0,0,0,0,1,0,5,Autumn20
AR22001,3,10,24,3,0,0,0,Autumn20
BS20001,47,436,240,49,20,15,1,Autumn20
CE20006,16,47,18,4,1,0,0,Autumn20
AI42001,59,134,75,14,0,0,1,Autumn20
CH20001,7,38,47,13,0,0,0,Autumn20
CS21001,13,35,46,26,6,5,2,Autumn20
BM60023,4,5,27,8,0,0,0,Autumn20
CY20101,3,7,11,2,1,0,0,Autumn20
EA10003,70,568,591,44,7,7,5,Autumn20
CS40019,64,84,73,30,11,1,0,Autumn20
CS60092,38,14,5,4,1,5,1,Autumn20
EC21005,19,44,51,22,5,0,1,Autumn20
AT30001,5,27,23,12,2,0,0,Autumn20
AT60003,2,0,11,2,0,0,0,Autumn20
CL60019,0,6,0,0,0,0,0,Autumn20
CS60017,21,30,29,18,6,2,0,Autumn20
EC21103,99,150,105,36,17,4,3,Autumn20
CS60075,28,37,17,10,7,1,3,Autumn20
EX20001,16,27,10,4,1,0,1,Autumn20
EC21101,77,127,37,9,1,17,1,Autumn20
AI61003,28,57,14,11,4,0,0,Autumn20
HS20003,2,25,27,0,0,0,0,Autumn20
CE21005,1,13,51,73,21,4,1,Autumn20
HS20001,86,131,207,31,9,8,2,Autumn20
MA20101,242,185,198,96,37,24,1,Autumn20
CD61004,5,0,1,0,0,1,0,Autumn20
AE21003,0,4,15,19,14,2,1,Autumn20
AG20103,9,18,17,9,2,1,0,Autumn20
CY19001,0,2,2,3,2,1,4,Autumn20
CS10001,0,0,0,0,1,0,5,Autumn20
AR22003,0,40,0,0,0,0,0,Autumn20
BT20103,8,27,13,1,1,0,0,Autumn20
CE20101,8,64,13,0,1,0,0,Autumn20
CH21103,11,38,41,32,12,3,0,Autumn20
CS21003,7,19,35,28,25,9,5,Autumn20
CY20103,7,8,6,3,0,0,0,Autumn20
EC29003,155,179,47,21,5,2,5,Autumn20
GG20005,1,2,6,16,18,14,2,Autumn20
EC29001,116,117,23,1,4,3,5,Autumn20
EP60022,25,48,2,0,0,0,1,Autumn20
EP60020,61,98,135,74,26,0,0,Autumn20
HS20004,38,46,0,0,0,0,0,Autumn20
HS20002,2,24,15,5,0,0,0,Autumn20
HS20005,27,24,17,2,0,0,0,Autumn20
EV20001,124,313,217,85,42,21,5,Autumn20
CS61061,33,35,4,3,0,1,0,Autumn20
MA20103,130,219,94,23,4,3,1,Autumn20
HS51604,3,6,1,0,0,0,0,Autumn20
MA21007,50,109,102,36,5,0,0,Autumn20
MA41005,1,2,0,1,0,0,1,Autumn20
HS20018,5,13,11,9,3,2,1,Autumn20
AG29001,0,0,0,0,0,0,0,Autumn20
EA10002,0,2,1,1,2,0,3,Autumn20
CS19101,0,0,0,0,2,0,3,Autumn20
AR22005,7,15,18,0,0,0,0,Autumn20
BT21101,7,22,12,5,3,0,1,Autumn20
CE20103,1,45,33,9,2,0,0,Autumn20
CS60081,5,7,5,2,0,1,0,Autumn20
CS29003,11,24,29,23,28,9,4,Autumn20
CY20105,5,14,2,0,3,0,0,Autumn20
EA10001,0,0,1,0,0,0,6,Autumn20
EC21107,9,89,41,5,0,3,0,Autumn20
EE21101,38,126,60,29,9,4,7,Autumn20
GG21105,0,19,28,6,4,0,1,Autumn20
HS20007,10,15,25,3,0,0,0,Autumn20
MT21105,23,35,8,0,1,3,0,Autumn20
GG20007,4,31,28,10,4,0,0,Autumn20
ME21101,42,114,69,27,6,4,2,Autumn20
EP67001,13,0,0,0,0,0,0,Autumn20
MA31007,4,30,13,6,4,3,1,Autumn20
PH20003,44,162,42,3,0,0,2,Autumn20
MA51005,2,1,2,0,0,0,0,Autumn20
MA20105,14,53,10,3,0,0,0,Autumn20
CS61063,8,14,6,1,2,0,1,Autumn20
AG29003,0,0,0,0,0,0,0,Autumn20
EE11001,0,0,0,0,3,3,8,Autumn20
AR22007,0,40,0,0,0,0,0,Autumn20
BT21105,1,27,13,5,1,0,0,Autumn20
CE20105,2,52,22,6,1,2,1,Autumn20
CY29001,0,0,0,0,0,0,0,Autumn20
EA10005,0,0,0,0,0,0,0,Autumn20
EE29001,31,73,99,40,20,6,4,Autumn20
GG29005,0,0,0,0,0,0,0,Autumn20
IM21003,66,39,41,23,6,2,1,Autumn20
GG21103,24,6,3,1,1,0,0,Autumn20
HS30075,5,6,13,13,0,0,0,Autumn20
GG29009,0,0,0,0,0,0,0,Autumn20
ME21103,4,9,31,5,3,0,0,Autumn20
PH20007,11,13,6,2,2,2,0,Autumn20
EE19001,0,0,1,1,3,1,7,Autumn20
AR23201,2,27,9,2,0,0,0,Autumn20
BT29001,0,0,0,0,0,0,0,Autumn20
EC29005,0,0,0,0,0,0,0,Autumn20
HS61080,2,9,22,6,3,3,0,Autumn20
ET61005,2,11,2,2,0,0,1,Autumn20
HS20016,21,23,10,0,0,0,0,Autumn20
HS30084,3,11,15,9,3,0,0,Autumn20
HS30041,18,33,12,0,0,0,0,Autumn20
HS30066,5,13,20,20,0,0,0,Autumn20
HS31076,3,23,10,6,0,0,2,Autumn20
IM22001,12,34,20,0,0,0,0,Autumn20
GG29003,2,25,5,3,0,0,0,Autumn20
HS30057,8,13,4,1,0,0,0,Autumn20
HS30036,2,12,5,1,0,0,1,Autumn20
HS30095,6,19,28,8,0,0,0,Autumn20
HS60044,22,44,6,2,2,0,1,Autumn20
HS60005,10,34,21,8,1,4,0,Autumn20
HS30001,1,5,29,10,2,0,0,Autumn20
HS30073,2,9,27,8,2,0,0,Autumn20
ME20001,5,10,24,104,59,10,2,Autumn20
MT21107,3,19,31,10,6,0,0,Autumn20
NA21003,8,24,15,5,0,0,0,Autumn20
PH21001,0,8,18,7,1,1,0,Autumn20
HS13001,0,0,2,3,3,4,2,Autumn20
MA10001,0,0,0,0,0,0,7,Autumn20
AR23203,12,20,4,3,0,1,0,Autumn20
BT29003,0,0,0,0,0,0,0,Autumn20
CE29003,0,0,0,0,0,0,0,Autumn20
HS30037,8,13,6,1,1,0,0,Autumn20
