subject,subject_grades,subject_session
CY11001-CHEMISTRY,A,Autumn17
CY19001-CHEMISTRY LAB.,EX,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn17
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn17
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn17
MA10001-MATHEMATICS-I,B,Autumn17
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn17
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring18
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
MA10002-MATHEMATICS-II,A,Spring18
ME10001-MECHANICS,EX,Spring18
PH11001-PHYSICS,B,Spring18
PH19001-PHYSICS LAB.,EX,Spring18
AE21001-INTRODUCTION TO AERODYNAMICS,A,Autumn18
AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,A,Autumn18
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn18
EC21101-BASIC ELECTRONICS,A,Autumn18
EC29001-BASIC ELECTRONICS LAB.,EX,Autumn18
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn18
MA20101-TRANSFORM CALCULUS,EX,Autumn18
AE21002-LOW SPEED AERODYNAMICS,A,Spring19
AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,EX,Spring19
AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,EX,Spring19
AE29002-AERODYNAMICS LAB-I,EX,Spring19
AE29004-STRUCTURES LAB -I,EX,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
HS60044-,EX,Spring19
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring19
MA20104-PROBABILITY & STATISTICS,C,Spring19
AE31001-THERMODYNAMICS & AEROSPACE PROP.SYSTEM,EX,Autumn19
AE31007-MECHANICS OF FLIGHT,D,Autumn19
AE31009-AEROSPACE STRUCTURAL ANALYSIS,A,Autumn19
AE31103-HIGH SPEED AERODYNAMICS,EX,Autumn19
AE39001-AERODYNAMICS LAB-II,EX,Autumn19
AE39003-STRUCTURES LAB -II,EX,Autumn19
AE40018-INTRODUCTION TO TURBULENCE,B,Autumn19
AE31002-AEROSPACE STRUCTURAL DYNAMICS,EX,Spring20
AE31004-AIRCRAFT STABILITY AND CONTROL,A,Spring20
AE31006-COMPUTER APPLICATION IN AERO. ENGINEERING,EX,Spring20
AE31008-THEORY OF JET PROPULSION,A,Spring20
AE31010-VISCOUS FLOW THEORY,EX,Spring20
AE39002-SYSTEM LABORATORY,EX,Spring20
AE39004-PROPULSION LABORATORY,EX,Spring20
ME60310-,P,Spring20
AE40005-SPACE DYNAMICS,EX,Autumn20
AE40033-FINITE ELEMENT METHODS,EX,Autumn20
AE40037-PHYSICS OF FLUID FLOW EXPERIMENTS,EX,Autumn20
AE47007-PROJECT-I,EX,Autumn20
AE49003-AIRCRAFT DESIGN & OPTIMISATION,EX,Autumn20
CH62039-,A,Autumn20
HS60005-,EX,Autumn20
MA21007-DESIGN & ANALYSIS OF ALGORITHMS,C,Autumn20
AE47006-PROJECT - PART 2,,Spring21
AE51007-COMBUSTION PROCESSES IN JET ENGINES,EX,Spring21
AE51018-INDUSTRIAL AERODYNAMICS,EX,Spring21
AE51026-HYPERSONIC AERODYNAMICS,A,Spring21
CH21004-HEAT TRANSFER,B,Spring21
CH62052-,EX,Spring21
ME60012-,A,Spring21
CY11001-CHEMISTRY,A,Autumn17
CY19001-CHEMISTRY LAB.,A,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
