subject,subject_grades,subject_session
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn17
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn17
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn17
EA10001-EXTRA ACADEMIC ACTIVITY-I,Y,Autumn17
EA10005-INDUCTION PROGRAM,Y,Autumn17
MA10001-MATHEMATICS-I,D,Autumn17
ME10001-MECHANICS,D,Autumn17
PH11001-PHYSICS,D,Autumn17
PH19001-PHYSICS LAB.,B,Autumn17
CY11001-CHEMISTRY,D,Spring18
CY19001-CHEMISTRY LAB.,A,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,Y,Spring18
EE11001-ELECTRICAL TECHNOLOGY,D,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring18
HS13001-ENGLISH FOR COMMUNICATION,B,Spring18
MA10002-MATHEMATICS-II,C,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Spring18
BS20001-SCIENCE OF LIVING SYSTEM,C,Autumn18
BT20103-MICROBIOLOGY,B,Autumn18
BT21101-BIOCHEMISTRY,D,Autumn18
BT21105-BIOCHEM. REACTION ENGG. AND BIOENERGETICS,D,Autumn18
BT29001-BIOCHEMISTRY LABORATORY,A,Autumn18
BT29003-MICROBIOLOGY LABORATORY,A,Autumn18
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn18
EV20001-ENVIRONMENTAL SCIENCE,D,Autumn18
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,P,Autumn18
BT21002-CELL & MOLECULAR BIOLOGY,D,Spring19
BT29002-CELL & MOLECULAR BIOLOGY LABORATORY,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
EC21101-BASIC ELECTRONICS,B,Spring19
EC29001-BASIC ELECTRONICS LAB.,D,Spring19
HS20001-ECONOMICS,C,Spring19
HS30073-ENVIRONMENTAL SOCIOLOGY,C,Spring19
MA20104-PROBABILITY & STATISTICS,C,Spring19
BT31009-GENETICS,B,Autumn19
BT31011-ENVIRONMENTAL BIOTECHNOLOGY,C,Autumn19
BT39001-ANALYTICAL BIOCHEMISTRY LABORATORY,B,Autumn19
BT39003-BIOCHEMICAL ENGGINEERING LABORATORY,B,Autumn19
CH21103-CHEMICAL PROCESS CALCULATIONS,D,Autumn19
CH31001-MASS TRANSFER I,C,Autumn19
EP60044-,C,Autumn19
BT31006-BIOINFORMATICS,B,Spring20
BT31010-PLANT CELL TISSUE CULTURE,B,Spring20
BT31014-IMMUNOLOGY,A,Spring20
