subject,subject_grades,subject_session
CY11001-CHEMISTRY,B,Autumn18
CY19001-CHEMISTRY LAB.,A,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
EE11001-ELECTRICAL TECHNOLOGY,C,Autumn18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn18
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn18
MA10001-MATHEMATICS-I,C,Autumn18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn18
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring19
MA10002-MATHEMATICS-II,C,Spring19
ME10001-MECHANICS,B,Spring19
PH11001-PHYSICS,C,Spring19
PH19001-PHYSICS LAB.,A,Spring19
AG20101-CROP PRODUCTION TECHNOLOGY,B,Autumn19
AG20103-SOIL TECHNOLOGY,C,Autumn19
AG29001-CROP PRODUCTION TECHNOLOGY LAB.,A,Autumn19
AG29003-SOIL TECHNOLOGY LAB.,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,C,Autumn19
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn19
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn19
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,C,Autumn19
ME21101-FLUID MECHANICS,B,Autumn19
AG29004-AGRICULTURAL BIOTECHNOLOGY LAB.,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,D,Spring20
EC21101-BASIC ELECTRONICS,B,Spring20
EC29001-BASIC ELECTRONICS LAB.,EX,Spring20
HS20001-ECONOMICS,B,Spring20
HS20018-SANSKRIT AND HERITAGE,A,Spring20
MA20104-PROBABILITY & STATISTICS,A,Spring20
ME22002-THERMODYNAMICS,A,Spring20
AG31001-AGRICULTURAL MACHINERY,B,Autumn20
AG31003-LAND & WATER RESOURCES ENGINEERING,A,Autumn20
AG31005-PRINCIPLES OF FOOD ENGINEERING,A,Autumn20
AG31007-THEORY & DESIGN OF MACHINE ELEMENTS,B,Autumn20
AG39001-AGRICULTURAL MACHINERY LAB.,A,Autumn20
AG39003-LAND & WATER RESOURCES ENGINEERING LAB.,EX,Autumn20
AG39005-FOOD ENGINEERING LAB.,I,Autumn20
CS40019-IMAGE PROCESSING,A,Autumn20
EP60007-,B,Autumn20
AG31002-TRACTOR & POWER SYSTEMS,B,Spring21
AG31004-IRRIGATION & DRAINAGE ENGINEERING,A,Spring21
AG31006-FOOD SCIENCE & TECHNOLOGY,A,Spring21
AG31008-POST HARVEST ENGINEERING,B,Spring21
AG39002-TRACTOR & POWER SYSTEMS LABORATORY,A,Spring21
AG39004-IRRIGATION & DRAINAGE ENGINEERING LABORATORY,A,Spring21
AG39006-FOOD SCIENCE & TECHNOLOGY LABORATORY,A,Spring21
AI61002-,B,Spring21
CY11001-CHEMISTRY,A,Autumn18
CY19001-CHEMISTRY LAB.,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,D,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
EE11001-ELECTRICAL TECHNOLOGY,A,Autumn18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn18
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn18
MA10001-MATHEMATICS-I,A,Autumn18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn18
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring19
