subject,subject_grades,subject_session
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,B,Autumn18
ME10001-MECHANICS,B,Autumn18
PH11001-PHYSICS,C,Autumn18
PH19001-PHYSICS LAB.,B,Autumn18
CY11001-CHEMISTRY,C,Spring18
CY19001-CHEMISTRY LAB.,A,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring18
EE11001-ELECTRICAL TECHNOLOGY,C,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring18
HS13001-ENGLISH FOR COMMUNICATION,C,Spring18
MA10002-MATHEMATICS-II,D,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
EX20001-PHYSICS OF SOLID EARTH,D,Autumn19
GG20005-INTRODUCTION TO EARTH SCIENCE,P,Autumn19
GG21103-PALEONTOLOGY,C,Autumn19
GG21105-MINERALOGY,P,Autumn19
GG29003-PALEONTOLOGY LAB.,D,Autumn19
GG29005-INTRODUCTION TO EARTH SCIENCE LAB.,B,Autumn19
HS30095-GLOBALISATION AND CULTURE,C,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
EC21101-BASIC ELECTRONICS,C,Spring19
EC29001-BASIC ELECTRONICS LAB.,EX,Spring19
EV20001-ENVIRONMENTAL SCIENCE,D,Spring19
GG20002-THERMODYNAMICS OF GEOL. SYSTEMS,B,Spring19
GG20107-STRUCTURAL GEOLOGY,C,Spring19
GG28002-FIELD WORK (3 WEEKS),A,Spring19
GG29002-DETERMINATIVE MINERALOGY LABORATORY,B,Spring19
GG29007-STRUCTURAL GEOLOGY LAB,B,Spring19
HS20001-ECONOMICS,C,Spring19
EP60021-,B,Autumn20
GG31005-MINERAL RESOURCES,EX,Autumn20
GG31007-ENGINEERING GEOLOGY,B,Autumn20
GG31009-METAMORPHIC PETROLOGY,B,Autumn20
GG39003-MINERAL RESOURCES LAB.,A,Autumn20
GG39007-ENGINEERING GEOLOGY LABORATORY,A,Autumn20
GG39009-METAMORPHIC PETROLOGY LAB.,C,Autumn20
GG41001-GEOCHEMISTRY,A,Autumn20
GG49001-GEOCHEMISTRY LAB.,A,Autumn20
GG30002-STRATIGRAPHY,C,Spring20
GG31004-SEDIMENTOLOGY,A,Spring20
GG31006-IGNEOUS PETROLOGY,B,Spring20
GG38002-FIELD WORK (3 WEEKS),B,Spring20
GG39001-IGNEOUS PETROLOGY LAB.,EX,Spring20
GG39008-SEDIMENTOLOGY LAB.,D,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,B,Autumn18
ME10001-MECHANICS,B,Autumn18
PH11001-PHYSICS,C,Autumn18
PH19001-PHYSICS LAB.,A,Autumn18
CY11001-CHEMISTRY,D,Spring18
CY19001-CHEMISTRY LAB.,A,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring18
EE11001-ELECTRICAL TECHNOLOGY,C,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring18
HS13001-ENGLISH FOR COMMUNICATION,B,Spring18
MA10002-MATHEMATICS-II,C,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn19
EX20001-PHYSICS OF SOLID EARTH,C,Autumn19
GG20005-INTRODUCTION TO EARTH SCIENCE,B,Autumn19
GG21103-PALEONTOLOGY,A,Autumn19
GG21105-MINERALOGY,C,Autumn19
GG29003-PALEONTOLOGY LAB.,EX,Autumn19
GG29005-INTRODUCTION TO EARTH SCIENCE LAB.,A,Autumn19
HS20018-SANSKRIT AND HERITAGE,B,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring19
EC21101-BASIC ELECTRONICS,C,Spring19
EC29001-BASIC ELECTRONICS LAB.,EX,Spring19
EV20001-ENVIRONMENTAL SCIENCE,B,Spring19
GG20002-THERMODYNAMICS OF GEOL. SYSTEMS,C,Spring19
GG20107-STRUCTURAL GEOLOGY,C,Spring19
