subject,subject_grades,subject_session

CY11001-CHEMISTRY,A,Autumn19

CY19001-CHEMISTRY LAB.,EX,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19

HS66005-,A,Autumn19

MA10001-MATHEMATICS-I,A,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

MA10002-MATHEMATICS-II,EX,Spring19

ME10001-MECHANICS,EX,Spring19

PH11001-PHYSICS,A,Spring19

PH19001-PHYSICS LAB.,A,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,B,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,EX,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20

EC21101-BASIC ELECTRONICS,A,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20

MA20101-TRANSFORM CALCULUS,EX,Autumn20

AE21002-LOW SPEED AERODYNAMICS,A,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,A,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,EX,Spring20

AE29002-AERODYNAMICS LAB-I,B,Spring20

AE29004-STRUCTURES LAB -I,A,Spring20

CS21003-ALGORITHMS - I,B,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20

HS60044-,A,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,EX,Spring20

MA20104-PROBABILITY & STATISTICS,C,Spring20

CY11001-CHEMISTRY,A,Autumn19

CY19001-CHEMISTRY LAB.,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19

MA10001-MATHEMATICS-I,B,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,C,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19

MA10002-MATHEMATICS-II,B,Spring19

ME10001-MECHANICS,D,Spring19

PH11001-PHYSICS,A,Spring19

PH19001-PHYSICS LAB.,A,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,C,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,EX,Autumn20

EC21101-BASIC ELECTRONICS,A,Autumn20

EC29001-BASIC ELECTRONICS LAB.,A,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,C,Autumn20

MA20101-TRANSFORM CALCULUS,B,Autumn20

AE21002-LOW SPEED AERODYNAMICS,C,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,B,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,A,Spring20

AE29002-AERODYNAMICS LAB-I,A,Spring20

AE29004-STRUCTURES LAB -I,B,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20

HS60005-,B,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring20

CY11001-CHEMISTRY,A,Autumn19

CY19001-CHEMISTRY LAB.,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19

MA10001-MATHEMATICS-I,A,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring19

MA10002-MATHEMATICS-II,EX,Spring19

ME10001-MECHANICS,B,Spring19

PH11001-PHYSICS,EX,Spring19

PH19001-PHYSICS LAB.,A,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,A,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,A,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20

EC21101-BASIC ELECTRONICS,A,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20

MA20101-TRANSFORM CALCULUS,A,Autumn20

MA31005-REAL ANALYSIS,B,Autumn20

AE21002-LOW SPEED AERODYNAMICS,B,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,A,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,EX,Spring20

AE29002-AERODYNAMICS LAB-I,A,Spring20

AE29004-STRUCTURES LAB -I,A,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20

HS30048-GERMAN,A,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,EX,Spring20

MA20104-PROBABILITY & STATISTICS,B,Spring20

CY11001-CHEMISTRY,C,Autumn19

CY19001-CHEMISTRY LAB.,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,EX,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19

MA10001-MATHEMATICS-I,B,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring19

MA10002-MATHEMATICS-II,A,Spring19

ME10001-MECHANICS,D,Spring19

PH11001-PHYSICS,B,Spring19

PH19001-PHYSICS LAB.,EX,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,A,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,C,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20

EC21101-BASIC ELECTRONICS,A,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20

MA20101-TRANSFORM CALCULUS,EX,Autumn20

MM61501-,A,Autumn20

AE21002-LOW SPEED AERODYNAMICS,C,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,A,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,A,Spring20

AE29002-AERODYNAMICS LAB-I,A,Spring20

AE29004-STRUCTURES LAB -I,A,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20

HS30001-INTRODUCTION TO SOCIOLOGY,A,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring20

MA20104-PROBABILITY & STATISTICS,B,Spring20

MA60002-,P,Spring20

CY11001-CHEMISTRY,D,Autumn19

CY19001-CHEMISTRY LAB.,C,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,C,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,D,Autumn19

MA10001-MATHEMATICS-I,P,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19

MA10002-MATHEMATICS-II,P,Spring19

ME10001-MECHANICS,P,Spring19

PH11001-PHYSICS,P,Spring19

PH19001-PHYSICS LAB.,B,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,D,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn20

EC21101-BASIC ELECTRONICS,A,Autumn20

EC29001-BASIC ELECTRONICS LAB.,A,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,C,Autumn20

MA20101-TRANSFORM CALCULUS,A,Autumn20

AE21002-LOW SPEED AERODYNAMICS,C,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,B,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,B,Spring20

AE29002-AERODYNAMICS LAB-I,B,Spring20

AE29004-STRUCTURES LAB -I,B,Spring20

HS30075-MODERNISATION AND CREATIVE COMMUNICATION,A,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring20

CY11001-CHEMISTRY,B,Autumn19

CY19001-CHEMISTRY LAB.,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19

MA10001-MATHEMATICS-I,B,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

MA10002-MATHEMATICS-II,EX,Spring19

ME10001-MECHANICS,D,Spring19

PH11001-PHYSICS,B,Spring19

PH19001-PHYSICS LAB.,EX,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,C,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20

EC21101-BASIC ELECTRONICS,EX,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20

MA20101-TRANSFORM CALCULUS,A,Autumn20

AE21002-LOW SPEED AERODYNAMICS,EX,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,A,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,EX,Spring20

AE29002-AERODYNAMICS LAB-I,EX,Spring20

AE29004-STRUCTURES LAB -I,EX,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20

HS30074-SCIENCE AND HUMANISM,A,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,EX,Spring20

MA20104-PROBABILITY & STATISTICS,B,Spring20

CY11001-CHEMISTRY,A,Autumn19

CY19001-CHEMISTRY LAB.,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19

MA10001-MATHEMATICS-I,B,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

MA10002-MATHEMATICS-II,A,Spring19

ME10001-MECHANICS,C,Spring19

PH11001-PHYSICS,B,Spring19

PH19001-PHYSICS LAB.,A,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,D,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,C,Autumn20

CS40019-IMAGE PROCESSING,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20

EC21101-BASIC ELECTRONICS,B,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20

MA20101-TRANSFORM CALCULUS,D,Autumn20

AE21002-LOW SPEED AERODYNAMICS,A,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,A,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,A,Spring20

AE29002-AERODYNAMICS LAB-I,EX,Spring20

AE29004-STRUCTURES LAB -I,A,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring20

MA20104-PROBABILITY & STATISTICS,C,Spring20

MA60002-,C,Spring20

RX60011-,EX,Spring20

CY11001-CHEMISTRY,B,Autumn19

CY19001-CHEMISTRY LAB.,EX,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19

EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn19

HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19

MA10001-MATHEMATICS-I,A,Autumn19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19

CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

MA10002-MATHEMATICS-II,EX,Spring19

ME10001-MECHANICS,D,Spring19

PH11001-PHYSICS,A,Spring19

PH19001-PHYSICS LAB.,EX,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,B,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20

EC21101-BASIC ELECTRONICS,EX,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20

MA20101-TRANSFORM CALCULUS,B,Autumn20

AE21002-LOW SPEED AERODYNAMICS,B,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,C,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,EX,Spring20

AE29002-AERODYNAMICS LAB-I,A,Spring20

AE29004-STRUCTURES LAB -I,B,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring20

HS30074-SCIENCE AND HUMANISM,B,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring20

MA20104-PROBABILITY & STATISTICS,A,Spring20

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19

CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,EX,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

MA10001-MATHEMATICS-I,P,Autumn19

ME10001-MECHANICS,P,Autumn19

PH11001-PHYSICS,D,Autumn19

PH19001-PHYSICS LAB.,A,Autumn19

CY11001-CHEMISTRY,C,Spring19

CY19001-CHEMISTRY LAB.,A,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

EE11001-ELECTRICAL TECHNOLOGY,C,Spring19

EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring19

HS13001-ENGLISH FOR COMMUNICATION,EX,Spring19

MA10002-MATHEMATICS-II,B,Spring19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,D,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20

EC21101-BASIC ELECTRONICS,B,Autumn20

EC29001-BASIC ELECTRONICS LAB.,A,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,B,Autumn20

MA20101-TRANSFORM CALCULUS,C,Autumn20

AE21002-LOW SPEED AERODYNAMICS,B,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,B,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,A,Spring20

AE29002-AERODYNAMICS LAB-I,B,Spring20

AE29004-STRUCTURES LAB -I,B,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20

HS40072-SOCIOLOGY OF  SCIENCE,EX,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,C,Spring20

ME60012-,C,Spring20

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19

CS10001-PROGRAMMING AND DATA STRUCTURES,A,Autumn19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

MA10001-MATHEMATICS-I,C,Autumn19

ME10001-MECHANICS,D,Autumn19

PH11001-PHYSICS,A,Autumn19

PH19001-PHYSICS LAB.,EX,Autumn19

CY11001-CHEMISTRY,A,Spring19

CY19001-CHEMISTRY LAB.,EX,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

EE11001-ELECTRICAL TECHNOLOGY,C,Spring19

EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring19

HS13001-ENGLISH FOR COMMUNICATION,EX,Spring19

MA10002-MATHEMATICS-II,A,Spring19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,C,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20

EC21101-BASIC ELECTRONICS,A,Autumn20

EC29001-BASIC ELECTRONICS LAB.,A,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,C,Autumn20

MA20101-TRANSFORM CALCULUS,B,Autumn20

AE21002-LOW SPEED AERODYNAMICS,A,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,B,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,A,Spring20

AE29002-AERODYNAMICS LAB-I,EX,Spring20

AE29004-STRUCTURES LAB -I,A,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20

HS30074-SCIENCE AND HUMANISM,EX,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,B,Spring20

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19

CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19

CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Autumn19

EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19

EA10005-INDUCTION PROGRAM,Y,Autumn19

MA10001-MATHEMATICS-I,D,Autumn19

ME10001-MECHANICS,P,Autumn19

PH11001-PHYSICS,D,Autumn19

PH19001-PHYSICS LAB.,C,Autumn19

CY11001-CHEMISTRY,C,Spring19

CY19001-CHEMISTRY LAB.,A,Spring19

EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19

EE11001-ELECTRICAL TECHNOLOGY,D,Spring19

EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring19

HS13001-ENGLISH FOR COMMUNICATION,B,Spring19

MA10002-MATHEMATICS-II,C,Spring19

ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring19

AE21001-INTRODUCTION TO AERODYNAMICS,B,Autumn20

AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,D,Autumn20

BS20001-SCIENCE OF LIVING SYSTEM,B,Autumn20

EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20

EC21101-BASIC ELECTRONICS,B,Autumn20

EC29001-BASIC ELECTRONICS LAB.,EX,Autumn20

EV20001-ENVIRONMENTAL SCIENCE,C,Autumn20

MA20101-TRANSFORM CALCULUS,A,Autumn20

AE21002-LOW SPEED AERODYNAMICS,A,Spring20

AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,A,Spring20

AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,A,Spring20

AE29002-AERODYNAMICS LAB-I,EX,Spring20

AE29004-STRUCTURES LAB -I,B,Spring20

EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20

HS30001-INTRODUCTION TO SOCIOLOGY,B,Spring20

MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,A,Spring20

CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,D,Autumn19

CS10001-PROGRAMMING AND DATA STRUCTURES,P,Autumn19

