course,EX,A,B,C,D,P,F,session
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS,108,223,400,137,19,14,7,Autumn 20
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS,106,186,372,149,21,16,5,Spring 20
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS,107,201,390,129,23,6,7,Spring 21
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS,109,224,355,159,33,18,16,Autumn 21
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS,0,0,1,0,0,0,0,Spring 19
CS10003-PROGAMMING AND DATA STRUCTURES,160,200,225,157,119,37,10,Autumn 20
CS10003-PROGAMMING AND DATA STRUCTURES,147,190,238,161,92,74,0,Spring 20
CS10003-PROGAMMING AND DATA STRUCTURES,163,214,260,151,84,26,4,Spring 21
CS10003-PROGAMMING AND DATA STRUCTURES,161,211,267,158,92,19,6,Autumn 21
CS10003-PROGAMMING AND DATA STRUCTURES,0,0,0,0,1,0,0,Spring 19
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY,205,216,236,145,68,31,7,Autumn 20
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY,183,208,248,130,98,34,1,Spring 20
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY,176,232,255,115,80,32,12,Spring 21
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY,184,236,244,133,84,23,10,Autumn 21
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY,0,1,0,0,0,0,0,Spring 19
CY11003-CHEMISTRY,140,299,256,122,64,18,9,Autumn 20
CY11003-CHEMISTRY,128,411,222,60,22,10,2,Spring 20
CY11003-CHEMISTRY,114,488,195,46,11,9,1,Spring 21
CY11003-CHEMISTRY,94,378,288,96,35,19,4,Autumn 21
CY11003-CHEMISTRY,0,0,1,0,0,0,0,Spring 19
CY19003-CHEMISTRY LABORATORY,183,328,276,84,25,4,8,Autumn 20
CY19003-CHEMISTRY LABORATORY,228,386,183,31,12,14,1,Spring 20
CY19003-CHEMISTRY LABORATORY,487,297,53,20,2,4,0,Spring 21
CY19003-CHEMISTRY LABORATORY,197,510,158,32,5,6,6,Autumn 21
CY19003-CHEMISTRY LABORATORY,0,0,1,0,0,0,0,Spring 19
EA10007-EXTRA ACADEMIC ACTIVITY-I,312,883,483,88,30,16,7,Autumn 20
EA10007-EXTRA ACADEMIC ACTIVITY-I,387,953,337,69,38,33,9,Autumn 21
EA10007-EXTRA ACADEMIC ACTIVITY-I,0,1,0,0,0,0,0,Autumn 19
HS13003-ENGLISH FOR COMMUNICATION,117,397,310,58,12,6,8,Autumn 20
HS13003-ENGLISH FOR COMMUNICATION,80,250,352,189,21,10,0,Spring 20
HS13003-ENGLISH FOR COMMUNICATION,131,446,265,47,13,0,0,Spring 21
HS13003-ENGLISH FOR COMMUNICATION,114,209,347,217,22,2,3,Autumn 21
