course,EX,A,B,C,D,P,F,session
CY19001,122,346,90,8,2,0,0,Autumn17
EA10001,1,10,11,4,4,6,2,Autumn17
EA10005,0,0,0,0,0,0,0,Autumn17
EE19001,38,216,226,69,16,3,0,Autumn17
CS10001,88,115,98,136,99,67,2,Spring18
CS19101,121,166,155,95,53,13,2,Spring18
EA10002,3,13,12,11,8,11,2,Spring18
PH19001,85,253,167,46,14,0,3,Spring18
AE31001,6,5,6,19,4,2,0,Autumn19
AE31007,0,3,3,2,23,11,0,Autumn19
AE31009,4,5,9,11,4,5,4,Autumn19
AE31103,6,6,19,4,1,5,1,Autumn19
AE39001,10,6,15,0,9,0,2,Autumn19
AE39003,6,8,15,9,2,1,1,Autumn19
AE40018,1,1,3,1,0,0,0,Autumn19
AE31002,12,5,11,9,0,4,1,Spring20
AE31004,0,5,4,7,4,16,3,Spring20
AE31006,8,11,11,7,0,2,2,Spring20
AE31008,5,5,9,9,8,6,0,Spring20
AE31010,4,10,12,9,4,3,0,Spring20
AE39002,17,17,3,2,0,0,2,Spring20
AE39004,4,14,11,3,3,3,0,Spring20
ME60310,0,0,1,1,0,1,0,Spring20
AE40005,3,0,1,1,2,0,1,Autumn20
AE40033,2,2,1,2,0,1,0,Autumn20
AE40037,4,3,0,0,0,0,0,Autumn20
AE47007,8,8,9,2,0,0,2,Autumn20
AE49003,12,15,4,2,3,1,2,Autumn20
CH62039,0,2,12,2,4,0,0,Autumn20
HS60005,12,33,15,8,1,1,0,Autumn20
MA21007,49,102,96,26,5,0,0,Autumn20
AE51007,3,3,4,1,0,0,0,Spring21
AE51018,7,4,1,0,0,0,0,Spring21
AE51026,1,4,2,0,2,0,0,Spring21
CH21004,12,49,32,9,4,0,0,Spring21
CH62052,7,6,17,15,4,0,0,Spring21
ME60012,9,19,4,4,1,0,0,Spring21
MA31007,3,14,13,14,4,7,1,Autumn19
AE48003,4,5,2,0,0,0,1,Autumn20
AE51003,6,8,2,1,0,1,0,Autumn20
AE51010,2,3,3,1,0,0,0,Autumn20
